<th>Number</th><th>Course Title</th><th>Credit</th><th>Seats</th><th>Days</th><th>Times</th><th>Instructor</th><th>Dates</th><th>Prerequisite(s)</th><th>Location</th>
COR 201-13;Science Meaning Making;3;2;TF;10AM-11:15AM;Kristin Wolf; 8/25 - 12/12;Take COR-101, COR-10... more;FOST 100;
COR 201-51;Science Meaning Making;3;0;M;5:30PM-8:15PM;Velpula Paul; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 203;
COR 202-01;Interdisciplinary Perspectives;3;0;TF;10AM-11:15AM;Ciaran Buckley; 8/25 - 12/12;Take COR-101, COR-10... more;WICK 100;
COR 202-02;Interdisciplinary Perspectives;3;2;TF;1PM-2:15PM;Edward Cafferty; 8/25 - 12/12;Take COR-101, COR-10... more;MIC 305/306;
COR 202-03;Interdisciplinary Perspectives;3;1;TF;4PM-5:15PM;Edward Cafferty; 8/25 - 12/12;Take COR-101, COR-10... more;MIC 305/306;
COR 202-04;Interdisciplinary Perspectives;3;13;MTH;8:30AM-9:45AM;Veruska Cantelli; 8/25 - 12/12;Take COR-101, COR-10... more;MIC 305/306;
COR 202-05;Interdisciplinary Perspectives;3;6;MTH;10AM-11:15AM;Veruska Cantelli; 8/25 - 12/12;Take COR-101, COR-10... more;MIC 305/306;
COR 202-06;Interdisciplinary Perspectives;3;2;TF;11:30AM-12:45PM;Flavio Rizzo; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 311;
COR 202-07;Interdisciplinary Perspectives;3;0;TF;1PM-2:15PM;Kerry Noonan; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 305;
COR 202-09;Interdisciplinary Perspectives;3;3;TF;10AM-11:15AM;Flavio Rizzo; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 311;
COR 202-10;Interdisciplinary Perspectives;3;2;MTH;8:30AM-9:45AM;Gary Scudder; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 305;
COR 202-11;Interdisciplinary Perspectives;3;2;MTH;10AM-11:15AM;Gary Scudder; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 305;
COR 202-12;Interdisciplinary Perspectives;3;2;TF;11:30AM-12:45PM;Kelly Thomas; 8/25 - 12/12;Take COR-101, COR-10... more;GBTC 114;
COR 202-13;Interdisciplinary Perspectives;3;0;TF;2:30PM-3:45PM;Kelly Thomas; 8/25 - 12/12;Take COR-101, COR-10... more;CCM 444;
COR 202-51;Interdisciplinary Perspectives;3;2;M;5:30PM-8:15PM;Amy Howe; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 305;
COR 202-52;Interdisciplinary Perspectives;3;0;TH;5:30PM-8:15PM;Amy Howe; 8/25 - 12/12;Take COR-101, COR-10... more;FOST 100;
COR 285-01;Integrative Thinking Seminar;3;5;MTH;8:30AM-9:45AM;Michael Lange; 8/25 - 12/12;Transfer status with... more;JOYC 102;
COR 301-01;Place  Identity;3;-1;TF;11:30AM-12:45PM;Ciaran Buckley; 8/25 - 12/12;Take COR-101, COR-10... more;WICK 100;
COR 301-02;Place  Identity;3;0;TF;2:30PM-3:45PM;Ciaran Buckley; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 302;
COR 301-03;Place  Identity;3;-1;TF;4PM-5:15PM;Ciaran Buckley; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 302;
COR 301-04;Place  Identity;3;2;TF;8:30AM-9:45AM;Veruska Cantelli; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 305;
COR 301-05;Place  Identity;3;0;TF;10AM-11:15AM;Veruska Cantelli; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 305;
COR 301-06;Place  Identity;3;0;W;9AM-11:45AM;Zachary LaMalfa; 8/25 - 12/12;Take COR-101, COR-10... more;MIC 305/306;
COR 301-08;Place  Identity;3;2;MTH;10AM-11:15AM;Michael Lange; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 102;
COR 301-09;Place  Identity;3;1;MTH;11:30AM-12:45PM;Michael Lange; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 102;
COR 301-10;Place  Identity;3;0;MTH;1PM-2:15PM;Michael Lange; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 102;
COR 301-11;Place  Identity;3;2;MTH;8:30AM-9:45AM;Flavio Rizzo; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 311;
COR 301-12;Place  Identity;3;0;MTH;10AM-11:15AM;Flavio Rizzo; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 311;
COR 301-13;Place  Identity;3;4;M;4PM-6:45PM;Gary Scudder; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 102;
COR 301-14;Place  Identity;3;4;TH;4PM-6:45PM;Gary Scudder; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 102;
COR 301-15;Place  Identity;3;0;W;12:15PM-3PM;Joanna Caroline Toy; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 302;
COR 301-16;Place  Identity;3;-1;MTH;2:30PM-3:45PM;Stephen Wehmeyer; 8/25 - 12/12;Take COR-101, COR-10... more;MIC 305/306;
COR 301-17;Place  Identity;3;-1;MTH;4PM-5:15PM;Stephen Wehmeyer; 8/25 - 12/12;Take COR-101, COR-10... more;MIC 305/306;
COR 301-102;Canadian Culture Thru Music;3;5;M;2PM-4:45PM;David Gilbert; 8/25 - 12/12;Take COR-101, COR-10... more;
COR 301-202;Intro to Irish Life  Culture;3;1;W;12:30PM-3:15PM;Ivan Robertson; 8/25 - 12/12;Take COR-101, COR-10... more;
COR 302-01;Field Methods;3;-1;W;12:15PM-3PM;Jonathan Banfill; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 203;
COR 302-02;Field Methods;3;0;F;2:30PM-5:15PM;Erik Shonstrom; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 304;
COR 302-03;Field Methods;3;1;TH;8:30AM-11:15AM;Ariel Burgess; 8/25 - 12/12;Take COR-101, COR-10... more;WICK 100;
COR 302-04;Field Methods;3;0;W;12:15PM-3PM;Weiling Deng; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 102;
COR 302-05;Field Methods;3;0;TH;2:30PM-5:15PM;Weiling Deng; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 305;
COR 302-06;Field Methods;3;1;W;9AM-11:45AM;Michael Kelly; 8/25 - 12/12;Take COR-101, COR-10... more;GBTC 217;
COR 302-07;Field Methods;3;0;MTH;1PM-2:15PM;Kerry Noonan; 8/25 - 12/12;Take COR-101, COR-10... more;WICK 100;
COR 302-08;Field Methods;3;0;MTH;2:30PM-3:45PM;Kerry Noonan; 8/25 - 12/12;Take COR-101, COR-10... more;WICK 100;
COR 302-09;Field Methods;3;0;T;8:30AM-11:15AM;Erik Shonstrom; 8/25 - 12/12;Take COR-101, COR-10... more;CCM 424;
COR 302-10;Field Methods;3;0;W;9AM-11:45AM;Valerie Esposito; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 305;
COR 302-11;Field Methods;3;0;TH;11:30AM-2:15PM;Erik Shonstrom; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 305;
COR 302-12;Field Methods;3;1;F;8:30AM-11:15AM;Erik Shonstrom; 8/25 - 12/12;Take COR-101, COR-10... more;MIC 305/306;
COR 302-13;Field Methods;3;0;TF;2:30PM-3:45PM;Stephen Wehmeyer; 8/25 - 12/12;Take COR-101, COR-10... more;FOST 100;
COR 302-14;Field Methods;3;0;TF;4PM-5:15PM;Stephen Wehmeyer; 8/25 - 12/12;Take COR-101, COR-10... more;FOST 100;
COR 302-15;Field Methods;3;2;W;9AM-11:45AM;Kristin Wolf; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 302;
COR 302-16;Field Methods;3;1;TF;11:30AM-12:45PM;Amy Howe; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 302;
